"Code","Last","Change","Change(%)","GridFluctRatio","Freq","Volume","Value","Frg Buy","Frg Sell","Net Buy"
"ISSP","394","","0","0.00","0","0","0","1,442","931","511"
"KBLI","322","","0","0.00","0","0","0","502","2","500"
"GDST","83","","0","0.00","0","0","0","1,261","772","489"
"CGAS","149","","0","0.00","0","0","0","1,477","999","478"
"CSMI","70","","0","0.00","0","0","0","547","76","471"
"MINE","214","","0","0.00","0","0","0","488","42","446"
"TOBA","408","","0","0.00","0","0","0","11,504","11,071","433"
"TLDN","520","","0","0.00","0","0","0","588","171","417"
"SSMS","790","","0","0.00","0","0","0","8,789","8,413","376"
"BBLD","565","","0","0.00","0","0","0","343","0","343"
"HYGN","139","","0","0.00","0","0","0","339","0","339"
"PKPK","2,600","","0","0.00","0","0","0","1,077","762","315"
"HOMI","204","","0","0.00","0","0","0","798","500","298"
"BELI","282","","0","0.00","0","0","0","547","251","296"
"SLIS","64","","0","0.00","0","0","0","547","256","291"
"SNLK","226","","0","0.00","0","0","0","3,002","2,737","265"
"EPMT","2,280","","0","0.00","0","0","0","305","58","247"
"AUTO","2,440","","0","0.00","0","0","0","1,697","1,455","242"
"CENT","72","","0","0.00","0","0","0","241","0","241"
"MPXL","149","","0","0.00","0","0","0","249","8","241"
"DART","124","","0","0.00","0","0","0","294","60","234"
"VISI","1,005","","0","0.00","0","0","0","629","396","233"
"FPNI","376","","0","0.00","0","0","0","1,947","1,731","216"
"ELPI","1,160","","0","0.00","0","0","0","367","154","213"
"TEBE","1,020","","0","0.00","0","0","0","1,236","1,024","212"
"TFAS","194","","0","0.00","0","0","0","206","0","206"
"BLUE","3,100","","0","0.00","0","0","0","737","533","204"
"ACRO","64","","0","0.00","0","0","0","500","317","183"
"DEFI","119","","0","0.00","0","0","0","13,502","13,333","169"
"MDIY","850","","0","0.00","0","0","0","3,728","3,563","165"
"RISE","1,025","","0","0.00","0","0","0","172","10","162"
"ALDO","695","","0","0.00","0","0","0","168","9","159"
"YPAS","635","","0","0.00","0","0","0","156","0","156"
"MLIA","240","","0","0.00","0","0","0","324","170","154"
"PJHB","167","","0","0.00","0","0","0","256","108","148"
"SKRN","328","","0","0.00","0","0","0","128","0","128"
"ARII","288","","0","0.00","0","0","0","120","0","120"
"SGRO","2,920","","0","0.00","0","0","0","219","102","117"
"WINE","160","","0","0.00","0","0","0","117","10","107"
"SMMT","1,855","","0","0.00","0","0","0","200","94","106"
"BISI","660","","0","0.00","0","0","0","260","155","105"
"CYBR-W","424","","0","0.00","0","0","0","101","0","101"
"HEXA","4,480","","0","0.00","0","0","0","119","22","97"
"KBLM","290","","0","0.00","0","0","0","95","0","95"
"TRIM","540","","0","0.00","0","0","0","95","1","94"
"ISAP","24","","0","0.00","0","0","0","94","0","94"
"DOID","206","","0","0.00","0","0","0","3,599","3,506","93"
"TBLA","670","","0","0.00","0","0","0","1,501","1,409","92"
"PTSP","855","","0","0.00","0","0","0","95","12","83"
"OLIV","51","","0","0.00","0","0","0","79","0","79"
"KKGI","280","","0","0.00","0","0","0","172","98","74"
"CBPE","314","","0","0.00","0","0","0","72","0","72"
"GTBO","176","","0","0.00","0","0","0","67","0","67"
"BAYU","1,135","","0","0.00","0","0","0","114","50","64"
"IPCM","322","","0","0.00","0","0","0","236","173","63"
"SMMA","21,900","","0","0.00","0","0","0","91","31","60"
"BUKK","1,245","","0","0.00","0","0","0","55","0","55"
"WOMF","266","","0","0.00","0","0","0","179","126","53"
"JECC","650","","0","0.00","0","0","0","75","23","52"
"ROCK","1,940","","0","0.00","0","0","0","49","0","49"
"VINS","132","","0","0.00","0","0","0","145","97","48"
"ADMF","8,000","","0","0.00","0","0","0","57","11","46"
"CHIP","960","","0","0.00","0","0","0","45","0","45"
"CITY","159","","0","0.00","0","0","0","476","434","42"
"SFAN","1,970","","0","0.00","0","0","0","39","0","39"
"PNSE","555","","0","0.00","0","0","0","38","0","38"
"BCIP","59","","0","0.00","0","0","0","118","82","36"
"GHON","1,615","","0","0.00","0","0","0","118","85","33"
"BOLA","160","","0","0.00","0","0","0","108","77","31"
"BSSR","4,550","","0","0.00","0","0","0","1,806","1,779","27"
"KONI","2,740","","0","0.00","0","0","0","26","0","26"
"LFLO","615","","0","0.00","0","0","0","26","0","26"
"LPLI","234","","0","0.00","0","0","0","120","97","23"
"ABMM","2,420","","0","0.00","0","0","0","608","590","18"
"GMTD","1,315","","0","0.00","0","0","0","17","0","17"
"ICON","97","","0","0.00","0","0","0","337","322","15"
"GLVA","328","","0","0.00","0","0","0","137","123","14"
"BAJA","164","","0","0.00","0","0","0","1,016","1,003","13"
"GEMA","79","","0","0.00","0","0","0","12","0","12"
"TRUS","298","","0","0.00","0","0","0","11","0","11"
"ZYRX","133","","0","0.00","0","0","0","18","8","10"
"MCOR","66","","0","0.00","0","0","0","10","0","10"
"IGAR","410","","0","0.00","0","0","0","109","100","9"
"PGUN","7,600","","0","0.00","0","0","0","9","0","9"
"CASS","1,745","","0","0.00","0","0","0","9","1","8"
"BKSW","51","","0","0.00","0","0","0","7","0","7"
"BRNA","580","","0","0.00","0","0","0","37","30","7"
"KDSI","430","","0","0.00","0","0","0","6","0","6"
"JSPT","1,310","","0","0.00","0","0","0","13","7","6"
"EKAD","170","","0","0.00","0","0","0","5","0","5"
"TRST","480","","0","0.00","0","0","0","5","0","5"
"CARS","89","","0","0.00","0","0","0","73","68","5"
"BTON","342","","0","0.00","0","0","0","62","57","5"
"HAIS","174","","0","0.00","0","0","0","55","51","4"
"DMND","620","","0","0.00","0","0","0","15","11","4"
"STAR","290","","0","0.00","0","0","0","3","0","3"
"YULE","3,420","","0","0.00","0","0","0","22","19","3"
"RONY","1,090","","0","0.00","0","0","0","2","0","2"
"SMLE","99","","0","0.00","0","0","0","347","345","2"
"CINT","169","","0","0.00","0","0","0","1","0","1"
"ITIC","206","","0","0.00","0","0","0","6","5","1"
